Chr	Start	End	Region	GenomeVersion
chr13	25075958	25078607	segmentaldup	GRCh37
chr13	25087104	25090527	segmentaldup	GRCh37
chr13	25111435	25139841	segmentaldup	GRCh37
chr13	25140124	25145263	segmentaldup	GRCh37
chr13	25146211	25152294	segmentaldup	GRCh37
chr13	25153561	25178626	segmentaldup	GRCh37
chr13	25252606	25253971	segmentaldup	GRCh37
chr13	25502394	25506075	segmentaldup	GRCh37
chr13	25506476	25564768	segmentaldup	GRCh37
chr13	25565212	25567938	segmentaldup	GRCh37
chr13	25572706	25589800	segmentaldup	GRCh37
chr13	25591463	25594544	segmentaldup	GRCh37
chr13	25599719	25604981	segmentaldup	GRCh37
chr13	25605100	25606215	segmentaldup	GRCh37
chr13	25670150	25672709	segmentaldup	GRCh37
chr13	25734083	25739659	segmentaldup	GRCh37
chr13	26639779	26652632	segmentaldup	GRCh37
chr13	26674335	26677083	segmentaldup	GRCh37
chr13	26782953	26784006	segmentaldup	GRCh37
chr13	26786911	26789731	segmentaldup	GRCh37
chr13	26978091	26979351	segmentaldup	GRCh37
chr13	27640292	27643521	segmentaldup	GRCh37
chr13	28270229	28271374	segmentaldup	GRCh37
chr13	28788591	28790322	segmentaldup	GRCh37
chr13	28874541	28877505	segmentaldup	GRCh37
chr13	29172977	29174334	segmentaldup	GRCh37
chr13	29295000	29298292	segmentaldup	GRCh37
chr13	29351705	29356478	segmentaldup	GRCh37
chr13	29613036	29623166	segmentaldup	GRCh37
chr13	29778515	29788319	segmentaldup	GRCh37
chr13	29880941	29882111	segmentaldup	GRCh37
chr13	29912773	29927851	segmentaldup	GRCh37
chr13	31033989	31035673	segmentaldup	GRCh37
chr13	31098687	31099857	segmentaldup	GRCh37
chr13	31127804	31129611	segmentaldup	GRCh37
chr13	34621475	34623738	segmentaldup	GRCh37
chr13	35073239	35074338	segmentaldup	GRCh37
chr13	35492616	35503995	segmentaldup	GRCh37
chr13	35570689	35572138	segmentaldup	GRCh37
chr13	35608629	35646833	segmentaldup	GRCh37
chr13	35668649	35707903	segmentaldup	GRCh37
chr13	37512309	37513663	segmentaldup	GRCh37
chr13	38934846	38937140	segmentaldup	GRCh37
chr13	39160351	39161770	segmentaldup	GRCh37
chr13	39716541	39717900	segmentaldup	GRCh37
chr13	39904708	39906084	segmentaldup	GRCh37
chr13	40610491	40613118	segmentaldup	GRCh37
chr13	41193471	41196528	segmentaldup	GRCh37
chr13	41288103	41293347	segmentaldup	GRCh37
chr13	41293663	41299343	segmentaldup	GRCh37
chr13	41304862	41334687	segmentaldup	GRCh37
chr13	41345729	41349058	segmentaldup	GRCh37
chr13	41350351	41366162	segmentaldup	GRCh37
chr13	41366172	41369644	segmentaldup	GRCh37
chr13	41382085	41411802	segmentaldup	GRCh37
chr13	41419044	41438210	segmentaldup	GRCh37
chr13	41455741	41498852	segmentaldup	GRCh37
chr13	41563699	41566935	segmentaldup	GRCh37
chr13	41957817	41959291	segmentaldup	GRCh37
chr13	41995535	42016686	segmentaldup	GRCh37
chr13	42016698	42030571	segmentaldup	GRCh37
chr13	42641850	42646011	segmentaldup	GRCh37
chr13	43021708	43038845	segmentaldup	GRCh37
chr13	43078245	43090111	segmentaldup	GRCh37
chr13	44176233	44177497	segmentaldup	GRCh37
chr13	45168903	45170282	segmentaldup	GRCh37
chr13	45513382	45515458	segmentaldup	GRCh37
chr13	45950647	45958179	segmentaldup	GRCh37
chr13	45963428	45965561	segmentaldup	GRCh37
chr13	46488113	46489576	segmentaldup	GRCh37
chr13	46844471	46846023	segmentaldup	GRCh37
chr13	46981282	47042446	segmentaldup	GRCh37
chr13	47079261	47082644	segmentaldup	GRCh37
chr13	48337519	48338736	segmentaldup	GRCh37
chr13	48900510	48902636	segmentaldup	GRCh37
chr13	49837894	49839619	segmentaldup	GRCh37
chr13	50458935	50468372	segmentaldup	GRCh37
chr13	50617646	50619370	segmentaldup	GRCh37
chr13	50746131	50747757	segmentaldup	GRCh37
chr13	52481276	52485703	segmentaldup	GRCh37
chr13	52604280	52605365	segmentaldup	GRCh37
chr13	52736779	52742456	segmentaldup	GRCh37
chr13	52743474	52747041	segmentaldup	GRCh37
chr13	52747106	52769165	segmentaldup	GRCh37
chr13	52771866	52884436	segmentaldup	GRCh37
chr13	52885495	52889187	segmentaldup	GRCh37
chr13	52889195	52892882	segmentaldup	GRCh37
chr13	52892898	52918144	segmentaldup	GRCh37
chr13	52935917	52940460	segmentaldup	GRCh37
chr13	52946078	52951913	segmentaldup	GRCh37
chr13	53051402	53076388	segmentaldup	GRCh37
chr13	53076392	53170864	segmentaldup	GRCh37
chr13	53175407	53187379	segmentaldup	GRCh37
chr13	53191043	53214381	segmentaldup	GRCh37
chr13	53216566	53217933	segmentaldup	GRCh37
chr13	53230108	53233241	segmentaldup	GRCh37
chr13	53420903	53422379	segmentaldup	GRCh37
chr13	53774328	53775805	segmentaldup	GRCh37
chr13	54478323	54481070	segmentaldup	GRCh37
chr13	57713296	57727877	segmentaldup	GRCh37
chr13	57732539	57747584	segmentaldup	GRCh37
chr13	59098632	59106439	segmentaldup	GRCh37
chr13	60848853	60851938	segmentaldup	GRCh37
chr13	61210870	61212213	segmentaldup	GRCh37
chr13	61692744	61694225	segmentaldup	GRCh37
chr13	63503679	63525093	segmentaldup	GRCh37
chr13	63530468	63543204	segmentaldup	GRCh37
chr13	63597805	63629573	segmentaldup	GRCh37
chr13	64290924	64301510	segmentaldup	GRCh37
chr13	64311684	64333021	segmentaldup	GRCh37
chr13	64333063	64343649	segmentaldup	GRCh37
chr13	64354625	64418388	segmentaldup	GRCh37
chr13	66015670	66016801	segmentaldup	GRCh37
chr13	66361662	66362895	segmentaldup	GRCh37
chr13	67840881	67841914	segmentaldup	GRCh37
chr13	68405701	68406976	segmentaldup	GRCh37
chr13	68476305	68490542	segmentaldup	GRCh37
chr13	69560248	69564342	segmentaldup	GRCh37
chr13	70647747	70648860	segmentaldup	GRCh37
chr13	70964085	70966978	segmentaldup	GRCh37
chr13	70978854	70980035	segmentaldup	GRCh37
chr13	71497794	71499742	segmentaldup	GRCh37
chr13	72249086	72250133	segmentaldup	GRCh37
chr13	72571667	72572878	segmentaldup	GRCh37
chr13	75811911	75815437	segmentaldup	GRCh37
chr13	77166861	77167883	segmentaldup	GRCh37
chr13	78233510	78238180	segmentaldup	GRCh37
chr13	78568843	78570237	segmentaldup	GRCh37
chr13	78579170	78580538	segmentaldup	GRCh37
chr13	78745420	78746501	segmentaldup	GRCh37
chr13	82147140	82150466	segmentaldup	GRCh37
chr13	82264028	82265229	segmentaldup	GRCh37
chr13	84480350	84481928	segmentaldup	GRCh37
chr13	86929531	86931766	segmentaldup	GRCh37
chr13	90008179	90010394	segmentaldup	GRCh37
chr13	90012006	90013729	segmentaldup	GRCh37
chr13	90014095	90015413	segmentaldup	GRCh37
chr13	90485076	90486319	segmentaldup	GRCh37
chr13	90824016	90827695	segmentaldup	GRCh37
chr13	91943400	91944709	segmentaldup	GRCh37
chr13	92433472	92474219	segmentaldup	GRCh37
chr13	92478107	92494295	segmentaldup	GRCh37
chr13	92538192	92568025	segmentaldup	GRCh37
chr13	92575983	92578635	segmentaldup	GRCh37
chr13	92578675	92585991	segmentaldup	GRCh37
chr13	92594949	92602963	segmentaldup	GRCh37
chr13	92717427	92731253	segmentaldup	GRCh37
chr13	92734390	92743748	segmentaldup	GRCh37
chr13	92743791	92748243	segmentaldup	GRCh37
chr13	92756957	92759565	segmentaldup	GRCh37
chr13	92769996	92776118	segmentaldup	GRCh37
chr13	92776197	92791574	segmentaldup	GRCh37
chr13	92898231	92899586	segmentaldup	GRCh37
chr13	92900319	92909082	segmentaldup	GRCh37
chr13	92919027	92921644	segmentaldup	GRCh37
chr13	93124001	93136012	segmentaldup	GRCh37
chr13	93206802	93226379	segmentaldup	GRCh37
chr13	93226799	93241865	segmentaldup	GRCh37
chr13	93259459	93278307	segmentaldup	GRCh37
chr13	93282886	93337791	segmentaldup	GRCh37
chr13	95409580	95411530	segmentaldup	GRCh37
chr13	95474141	95475355	segmentaldup	GRCh37
chr13	98368402	98370014	segmentaldup	GRCh37
chr13	99089635	99091319	segmentaldup	GRCh37
chr13	99515132	99516267	segmentaldup	GRCh37
chr13	101121482	101122926	segmentaldup	GRCh37
chr13	101256186	101257397	segmentaldup	GRCh37
chr13	102668955	102671138	segmentaldup	GRCh37
chr13	103696349	103697490	segmentaldup	GRCh37
chr13	111511850	111515405	segmentaldup	GRCh37
chr13	111598663	111600278	segmentaldup	GRCh37
chr13	111603578	111610448	segmentaldup	GRCh37
chr13	111675983	111679560	segmentaldup	GRCh37
chr13	112930238	112968749	segmentaldup	GRCh37
chr13	113046955	113053946	segmentaldup	GRCh37
chr13	113087100	113088726	segmentaldup	GRCh37
chr13	113516971	113518313	segmentaldup	GRCh37
chr13	113518430	113519773	segmentaldup	GRCh37
chr13	114088556	114090190	segmentaldup	GRCh37
chr13	114090236	114091744	segmentaldup	GRCh37
chr13	114294431	114295788	segmentaldup	GRCh37
chr13	115067203	115071283	segmentaldup	GRCh37
chr13	115094942	115097831	segmentaldup	GRCh37
chr13	115098103	115108157	segmentaldup	GRCh37
chr14	19040327	19471932	segmentaldup	GRCh37
chr14	19471933	19793000	segmentaldup	GRCh37
chr14	19796305	20305422	segmentaldup	GRCh37
chr14	20307348	20329735	segmentaldup	GRCh37
chr14	20408651	20455852	segmentaldup	GRCh37
chr14	20636985	20642241	segmentaldup	GRCh37
chr14	20776382	20777419	segmentaldup	GRCh37
chr14	20995408	20997181	segmentaldup	GRCh37
chr14	21341651	21344280	segmentaldup	GRCh37
chr14	21344617	21374207	segmentaldup	GRCh37
chr14	21374670	21404848	segmentaldup	GRCh37
chr14	21408229	21428193	segmentaldup	GRCh37
chr14	21626442	21628101	segmentaldup	GRCh37
chr14	21630577	21631955	segmentaldup	GRCh37
chr14	21632472	21634129	segmentaldup	GRCh37
chr14	21677588	21680082	segmentaldup	GRCh37
chr14	21819662	21820979	segmentaldup	GRCh37
chr14	21956755	21961418	segmentaldup	GRCh37
chr14	22031887	22034155	segmentaldup	GRCh37
chr14	22069854	22071008	segmentaldup	GRCh37
chr14	22101976	22103030	segmentaldup	GRCh37
chr14	22218494	22219923	segmentaldup	GRCh37
chr14	23184959	23186702	segmentaldup	GRCh37
chr14	24302885	24305010	segmentaldup	GRCh37
chr14	24372785	24374879	segmentaldup	GRCh37
chr14	24421111	24455943	segmentaldup	GRCh37
chr14	24455946	24503512	segmentaldup	GRCh37
chr14	25735446	25736655	segmentaldup	GRCh37
chr14	27139118	27140290	segmentaldup	GRCh37
chr14	27964589	27970427	segmentaldup	GRCh37
chr14	28216164	28330377	segmentaldup	GRCh37
chr14	28672015	28673776	segmentaldup	GRCh37
chr14	28734039	28735180	segmentaldup	GRCh37
chr14	28869862	28871223	segmentaldup	GRCh37
chr14	31085512	31088727	segmentaldup	GRCh37
chr14	31562112	31565656	segmentaldup	GRCh37
chr14	32559704	32563592	segmentaldup	GRCh37
chr14	32623823	32625573	segmentaldup	GRCh37
chr14	32736469	32741419	segmentaldup	GRCh37
chr14	32953303	32954324	segmentaldup	GRCh37
chr14	33031024	33032671	segmentaldup	GRCh37
chr14	35009872	35017062	segmentaldup	GRCh37
chr14	35024452	35031654	segmentaldup	GRCh37
chr14	35137022	35138899	segmentaldup	GRCh37
chr14	35363160	35365390	segmentaldup	GRCh37
chr14	35408519	35409698	segmentaldup	GRCh37
chr14	35857266	35858348	segmentaldup	GRCh37
chr14	35898954	35900532	segmentaldup	GRCh37
chr14	36007568	36008898	segmentaldup	GRCh37
chr14	36350922	36351977	segmentaldup	GRCh37
chr14	36840522	36841586	segmentaldup	GRCh37
chr14	37615384	37616711	segmentaldup	GRCh37
chr14	38575787	38576851	segmentaldup	GRCh37
chr14	39473502	39476041	segmentaldup	GRCh37
chr14	39572496	39578133	segmentaldup	GRCh37
chr14	39684267	39685516	segmentaldup	GRCh37
chr14	39853747	39856332	segmentaldup	GRCh37
chr14	41607003	41608712	segmentaldup	GRCh37
chr14	42115158	42116329	segmentaldup	GRCh37
chr14	42316971	42318422	segmentaldup	GRCh37
chr14	44545353	44547085	segmentaldup	GRCh37
chr14	44588620	44589648	segmentaldup	GRCh37
chr14	45361667	45362771	segmentaldup	GRCh37
chr14	45972344	45973503	segmentaldup	GRCh37
chr14	46324538	46325706	segmentaldup	GRCh37
chr14	47254656	47257606	segmentaldup	GRCh37
chr14	47384518	47385630	segmentaldup	GRCh37
chr14	49068435	49069574	segmentaldup	GRCh37
chr14	50066394	50067943	segmentaldup	GRCh37
chr14	50360185	50363770	segmentaldup	GRCh37
chr14	50575352	50576432	segmentaldup	GRCh37
chr14	50896728	50897963	segmentaldup	GRCh37
chr14	51129228	51134977	segmentaldup	GRCh37
chr14	51170545	51171778	segmentaldup	GRCh37
chr14	51721065	51722757	segmentaldup	GRCh37
chr14	51902696	51906031	segmentaldup	GRCh37
chr14	52152086	52156664	segmentaldup	GRCh37
chr14	52211377	52226782	segmentaldup	GRCh37
chr14	52227084	52238808	segmentaldup	GRCh37
chr14	52603898	52605277	segmentaldup	GRCh37
chr14	53243979	53245176	segmentaldup	GRCh37
chr14	54941202	54944876	segmentaldup	GRCh37
chr14	55273464	55285755	segmentaldup	GRCh37
chr14	55529334	55532071	segmentaldup	GRCh37
chr14	56232875	56233996	segmentaldup	GRCh37
chr14	57445099	57446410	segmentaldup	GRCh37
chr14	57508779	57510096	segmentaldup	GRCh37
chr14	57669345	57670403	segmentaldup	GRCh37
chr14	57673519	57676782	segmentaldup	GRCh37
chr14	58096896	58099100	segmentaldup	GRCh37
chr14	58109180	58110325	segmentaldup	GRCh37
chr14	58751426	58752542	segmentaldup	GRCh37
chr14	58987745	58989364	segmentaldup	GRCh37
chr14	60864424	60867232	segmentaldup	GRCh37
chr14	61438160	61439292	segmentaldup	GRCh37
chr14	62330932	62332826	segmentaldup	GRCh37
chr14	62522787	62523805	segmentaldup	GRCh37
chr14	63283372	63284408	segmentaldup	GRCh37
chr14	63838082	63842826	segmentaldup	GRCh37
chr14	64201409	64202943	segmentaldup	GRCh37
chr14	65063609	65068669	segmentaldup	GRCh37
chr14	66479150	66480646	segmentaldup	GRCh37
chr14	67227221	67228866	segmentaldup	GRCh37
chr14	68082103	68083258	segmentaldup	GRCh37
chr14	68265720	68267642	segmentaldup	GRCh37
chr14	69333389	69334747	segmentaldup	GRCh37
chr14	69353239	69354900	segmentaldup	GRCh37
chr14	69550067	69552416	segmentaldup	GRCh37
chr14	70178460	70179498	segmentaldup	GRCh37
chr14	70696492	70720119	segmentaldup	GRCh37
chr14	70918435	70938383	segmentaldup	GRCh37
chr14	71061459	71062604	segmentaldup	GRCh37
chr14	72519877	72520957	segmentaldup	GRCh37
chr14	73427056	73439621	segmentaldup	GRCh37
chr14	73992468	74000000	segmentaldup	GRCh37
chr14	74000098	74020296	segmentaldup	GRCh37
chr14	74022521	74027687	segmentaldup	GRCh37
chr14	74030014	74052473	segmentaldup	GRCh37
chr14	75344544	75345566	segmentaldup	GRCh37
chr14	75368896	75370446	segmentaldup	GRCh37
chr14	75598171	75601710	segmentaldup	GRCh37
chr14	75940815	75941857	segmentaldup	GRCh37
chr14	77099529	77102083	segmentaldup	GRCh37
chr14	77223366	77224437	segmentaldup	GRCh37
chr14	78682383	78683990	segmentaldup	GRCh37
chr14	80954553	80956252	segmentaldup	GRCh37
chr14	81288771	81289965	segmentaldup	GRCh37
chr14	81448033	81452139	segmentaldup	GRCh37
chr14	83156690	83159217	segmentaldup	GRCh37
chr14	84637656	84639179	segmentaldup	GRCh37
chr14	88418873	88420352	segmentaldup	GRCh37
chr14	89622518	89629309	segmentaldup	GRCh37
chr14	90201052	90205086	segmentaldup	GRCh37
chr14	90358365	90360122	segmentaldup	GRCh37
chr14	90832545	90835272	segmentaldup	GRCh37
chr14	90870212	90871921	segmentaldup	GRCh37
chr14	91587659	91589787	segmentaldup	GRCh37
chr14	92066900	92069813	segmentaldup	GRCh37
chr14	92070524	92071821	segmentaldup	GRCh37
chr14	92432347	92436239	segmentaldup	GRCh37
chr14	92492763	92493917	segmentaldup	GRCh37
chr14	93230148	93236151	segmentaldup	GRCh37
chr14	93240746	93246064	segmentaldup	GRCh37
chr14	93760025	93761188	segmentaldup	GRCh37
chr14	94827514	94828844	segmentaldup	GRCh37
chr14	94835567	94837304	segmentaldup	GRCh37
chr14	95100539	95101927	segmentaldup	GRCh37
chr14	95192544	95193595	segmentaldup	GRCh37
chr14	95265766	95267813	segmentaldup	GRCh37
chr14	95552566	95557002	segmentaldup	GRCh37
chr14	97031500	97033429	segmentaldup	GRCh37
chr14	99978366	99979906	segmentaldup	GRCh37
chr14	100947249	100948436	segmentaldup	GRCh37
chr14	103807639	103809508	segmentaldup	GRCh37
chr14	103840290	103841582	segmentaldup	GRCh37
chr14	104415663	104417434	segmentaldup	GRCh37
chr14	104917253	104921711	segmentaldup	GRCh37
chr14	104965246	104967972	segmentaldup	GRCh37
chr14	105407936	105413860	segmentaldup	GRCh37
chr14	105413862	105419779	segmentaldup	GRCh37
chr14	105476277	105478272	segmentaldup	GRCh37
chr14	105576682	105579554	segmentaldup	GRCh37
chr14	105695962	105707283	segmentaldup	GRCh37
chr14	105714938	105717422	segmentaldup	GRCh37
chr14	106011759	106039891	segmentaldup	GRCh37
chr14	106044744	106071696	segmentaldup	GRCh37
chr14	106072746	106098763	segmentaldup	GRCh37
chr14	106098765	106126206	segmentaldup	GRCh37
chr14	106126214	106136475	segmentaldup	GRCh37
chr14	106137355	106160118	segmentaldup	GRCh37
chr14	106164623	106244376	segmentaldup	GRCh37
chr14	106315170	106316299	segmentaldup	GRCh37
chr14	106377224	106395884	segmentaldup	GRCh37
chr14	106410980	106439876	segmentaldup	GRCh37
chr14	106439932	106483366	segmentaldup	GRCh37
chr14	106484370	106485689	segmentaldup	GRCh37
chr14	106517103	106519027	segmentaldup	GRCh37
chr14	106565208	106609940	segmentaldup	GRCh37
chr14	106609994	106653661	segmentaldup	GRCh37
chr14	106667735	106681142	segmentaldup	GRCh37
chr14	106690369	106692283	segmentaldup	GRCh37
chr14	106719929	106721425	segmentaldup	GRCh37
chr14	106752519	106758838	segmentaldup	GRCh37
chr14	106780258	106830260	segmentaldup	GRCh37
chr14	106833363	106846356	segmentaldup	GRCh37
chr14	106852849	106861483	segmentaldup	GRCh37
chr14	106863791	106866911	segmentaldup	GRCh37
chr14	106876501	106879697	segmentaldup	GRCh37
chr14	106931917	106934215	segmentaldup	GRCh37
chr14	106934222	106942528	segmentaldup	GRCh37
chr14	106991927	106994426	segmentaldup	GRCh37
chr14	107001369	107005697	segmentaldup	GRCh37
chr14	107020292	107021802	segmentaldup	GRCh37
chr14	107048502	107052311	segmentaldup	GRCh37
chr14	107082131	107087680	segmentaldup	GRCh37
chr14	107094168	107105264	segmentaldup	GRCh37
chr14	107105468	107107809	segmentaldup	GRCh37
chr14	107128425	107134556	segmentaldup	GRCh37
chr14	107136585	107140980	segmentaldup	GRCh37
chr14	107174403	107175749	segmentaldup	GRCh37
chr14	107216505	107222997	segmentaldup	GRCh37
chr14	107270293	107271551	segmentaldup	GRCh37
chr14	107282935	107284509	segmentaldup	GRCh37
chr15	20035465	20099568	segmentaldup	GRCh37
chr15	20099636	20189473	segmentaldup	GRCh37
chr15	20193071	20549061	segmentaldup	GRCh37
chr15	20549357	20634165	segmentaldup	GRCh37
chr15	20634177	20847448	segmentaldup	GRCh37
chr15	20852719	20894627	segmentaldup	GRCh37
chr15	20935075	21199563	segmentaldup	GRCh37
chr15	21201009	21205302	segmentaldup	GRCh37
chr15	21205312	21398819	segmentaldup	GRCh37
chr15	21885000	21903486	segmentaldup	GRCh37
chr15	21903487	21907884	segmentaldup	GRCh37
chr15	21908163	21932379	segmentaldup	GRCh37
chr15	21932388	21936649	segmentaldup	GRCh37
chr15	21941705	22212114	segmentaldup	GRCh37
chr15	22262114	22423285	segmentaldup	GRCh37
chr15	22434925	22478119	segmentaldup	GRCh37
chr15	22479961	22481306	segmentaldup	GRCh37
chr15	22491446	22502427	segmentaldup	GRCh37
chr15	22507267	22514236	segmentaldup	GRCh37
chr15	22514585	22515919	segmentaldup	GRCh37
chr15	22515922	22539747	segmentaldup	GRCh37
chr15	22539898	22562432	segmentaldup	GRCh37
chr15	22562469	22578582	segmentaldup	GRCh37
chr15	22578624	22582524	segmentaldup	GRCh37
chr15	22582525	22596193	segmentaldup	GRCh37
chr15	22646193	22749353	segmentaldup	GRCh37
chr15	22749929	22770109	segmentaldup	GRCh37
chr15	22770996	22798670	segmentaldup	GRCh37
chr15	22798715	22803620	segmentaldup	GRCh37
chr15	22822655	22832518	segmentaldup	GRCh37
chr15	23090898	23514853	segmentaldup	GRCh37
chr15	23564853	23619911	segmentaldup	GRCh37
chr15	23620424	23623018	segmentaldup	GRCh37
chr15	23623021	23672494	segmentaldup	GRCh37
chr15	23673398	23694576	segmentaldup	GRCh37
chr15	23694585	23695916	segmentaldup	GRCh37
chr15	23696084	23697460	segmentaldup	GRCh37
chr15	23697804	23707037	segmentaldup	GRCh37
chr15	23707863	23710511	segmentaldup	GRCh37
chr15	23741648	23747995	segmentaldup	GRCh37
chr15	23930826	23932450	segmentaldup	GRCh37
chr15	24332351	24399983	segmentaldup	GRCh37
chr15	24402429	24435295	segmentaldup	GRCh37
chr15	24435297	24495904	segmentaldup	GRCh37
chr15	24501854	24589280	segmentaldup	GRCh37
chr15	24589285	24618726	segmentaldup	GRCh37
chr15	24618740	24740164	segmentaldup	GRCh37
chr15	24742100	24823749	segmentaldup	GRCh37
chr15	25154001	25155027	segmentaldup	GRCh37
chr15	25412432	25414841	segmentaldup	GRCh37
chr15	25514799	25516205	segmentaldup	GRCh37
chr15	25615712	25616961	segmentaldup	GRCh37
chr15	26192118	26196325	segmentaldup	GRCh37
chr15	28133818	28134918	segmentaldup	GRCh37
chr15	28379875	28394664	segmentaldup	GRCh37
chr15	28395057	28406591	segmentaldup	GRCh37
chr15	28412794	28421755	segmentaldup	GRCh37
chr15	28438265	28485396	segmentaldup	GRCh37
chr15	28495129	28505248	segmentaldup	GRCh37
chr15	28514729	28518593	segmentaldup	GRCh37
chr15	28527796	28708324	segmentaldup	GRCh37
chr15	28708331	29101685	segmentaldup	GRCh37
chr15	29129959	29141725	segmentaldup	GRCh37
chr15	29149971	29152592	segmentaldup	GRCh37
chr15	29152632	29154867	segmentaldup	GRCh37
chr15	29154882	29156958	segmentaldup	GRCh37
chr15	29345974	29348114	segmentaldup	GRCh37
chr15	29357674	29361540	segmentaldup	GRCh37
chr15	29521182	29525964	segmentaldup	GRCh37
chr15	30022814	30024025	segmentaldup	GRCh37
chr15	30297821	30299004	segmentaldup	GRCh37
chr15	30336925	30338297	segmentaldup	GRCh37
chr15	30368991	30968180	segmentaldup	GRCh37
chr15	30968184	30970226	segmentaldup	GRCh37
chr15	30970418	31073600	segmentaldup	GRCh37
chr15	31076318	31117037	segmentaldup	GRCh37
chr15	31117408	31137104	segmentaldup	GRCh37
chr15	31146955	31153045	segmentaldup	GRCh37
chr15	31174121	31175438	segmentaldup	GRCh37
chr15	31185519	31191622	segmentaldup	GRCh37
chr15	31191630	31192888	segmentaldup	GRCh37
chr15	31909992	32019620	segmentaldup	GRCh37
chr15	32025219	32027261	segmentaldup	GRCh37
chr15	32056344	32060521	segmentaldup	GRCh37
chr15	32445406	32925115	segmentaldup	GRCh37
chr15	33304523	33305599	segmentaldup	GRCh37
chr15	34671002	34730052	segmentaldup	GRCh37
chr15	34730083	34776964	segmentaldup	GRCh37
chr15	34780869	34782683	segmentaldup	GRCh37
chr15	34782943	34877132	segmentaldup	GRCh37
chr15	34879100	34918306	segmentaldup	GRCh37
chr15	34919211	34932917	segmentaldup	GRCh37
chr15	35270545	35275668	segmentaldup	GRCh37
chr15	35375417	35377509	segmentaldup	GRCh37
chr15	35413242	35414449	segmentaldup	GRCh37
chr15	35529416	35530476	segmentaldup	GRCh37
chr15	35692829	35694666	segmentaldup	GRCh37
chr15	36395631	36396638	segmentaldup	GRCh37
chr15	36691456	36693792	segmentaldup	GRCh37
chr15	36905602	36907678	segmentaldup	GRCh37
chr15	36910825	36913928	segmentaldup	GRCh37
chr15	37032221	37033316	segmentaldup	GRCh37
chr15	37546193	37547705	segmentaldup	GRCh37
chr15	38122242	38123499	segmentaldup	GRCh37
chr15	39136848	39138955	segmentaldup	GRCh37
chr15	40270972	40272821	segmentaldup	GRCh37
chr15	40414617	40415666	segmentaldup	GRCh37
chr15	40415689	40417493	segmentaldup	GRCh37
chr15	40425973	40429014	segmentaldup	GRCh37
chr15	40445535	40447657	segmentaldup	GRCh37
chr15	40604490	40605554	segmentaldup	GRCh37
chr15	41456454	41457785	segmentaldup	GRCh37
chr15	41570961	41574085	segmentaldup	GRCh37
chr15	41590238	41596688	segmentaldup	GRCh37
chr15	41870083	41871506	segmentaldup	GRCh37
chr15	42393330	42394537	segmentaldup	GRCh37
chr15	42862211	42865054	segmentaldup	GRCh37
chr15	42870841	42873555	segmentaldup	GRCh37
chr15	43092959	43094668	segmentaldup	GRCh37
chr15	43231457	43232602	segmentaldup	GRCh37
chr15	43423241	43424881	segmentaldup	GRCh37
chr15	43432298	43433465	segmentaldup	GRCh37
chr15	43851135	43950351	segmentaldup	GRCh37
chr15	43950689	44041710	segmentaldup	GRCh37
chr15	44280682	44282391	segmentaldup	GRCh37
chr15	44403126	44404340	segmentaldup	GRCh37
chr15	44705531	44707955	segmentaldup	GRCh37
chr15	44853225	44854283	segmentaldup	GRCh37
chr15	44896398	44898146	segmentaldup	GRCh37
chr15	45066889	45086702	segmentaldup	GRCh37
chr15	45086975	45107891	segmentaldup	GRCh37
chr15	45109634	45149747	segmentaldup	GRCh37
chr15	45150684	45154191	segmentaldup	GRCh37
chr15	45171466	45210989	segmentaldup	GRCh37
chr15	45211093	45223673	segmentaldup	GRCh37
chr15	45232732	45235051	segmentaldup	GRCh37
chr15	45249701	45263862	segmentaldup	GRCh37
chr15	45267123	45300549	segmentaldup	GRCh37
chr15	45315338	45318847	segmentaldup	GRCh37
chr15	45323832	45341414	segmentaldup	GRCh37
chr15	45350778	45375390	segmentaldup	GRCh37
chr15	45402825	45404162	segmentaldup	GRCh37
chr15	45427292	45428630	segmentaldup	GRCh37
chr15	45507639	45508664	segmentaldup	GRCh37
chr15	45847851	45848938	segmentaldup	GRCh37
chr15	46525923	46529795	segmentaldup	GRCh37
chr15	46530936	46551883	segmentaldup	GRCh37
chr15	47338844	47404136	segmentaldup	GRCh37
chr15	48640726	48641797	segmentaldup	GRCh37
chr15	49448518	49450829	segmentaldup	GRCh37
chr15	49764297	49782494	segmentaldup	GRCh37
chr15	49926732	49929082	segmentaldup	GRCh37
chr15	50086690	50091353	segmentaldup	GRCh37
chr15	50757240	50759319	segmentaldup	GRCh37
chr15	51159776	51162635	segmentaldup	GRCh37
chr15	51236817	51238769	segmentaldup	GRCh37
chr15	52338026	52339213	segmentaldup	GRCh37
chr15	52356096	52358458	segmentaldup	GRCh37
chr15	52839242	52844302	segmentaldup	GRCh37
chr15	53177714	53178745	segmentaldup	GRCh37
chr15	53229028	53230780	segmentaldup	GRCh37
chr15	54574962	54576938	segmentaldup	GRCh37
chr15	55585235	55589979	segmentaldup	GRCh37
chr15	55733994	55735268	segmentaldup	GRCh37
chr15	56295502	56298120	segmentaldup	GRCh37
chr15	56363536	56366276	segmentaldup	GRCh37
chr15	56601920	56603325	segmentaldup	GRCh37
chr15	57538771	57540181	segmentaldup	GRCh37
chr15	58006731	58009753	segmentaldup	GRCh37
chr15	58073770	58074880	segmentaldup	GRCh37
chr15	58978585	58979655	segmentaldup	GRCh37
chr15	59147895	59149415	segmentaldup	GRCh37
